,Zip,City,Latitude,Longitude,Student Count
220,1069,Palmer,42.176401,-72.32646,2097.0
222,1603,Worcester,42.240526,-71.83776,4403.0
223,1821,Billerica,42.54805,-71.25054,5592.0
225,2132,West Roxbury,42.279432,-71.1598,3196.0
226,1562,Spencer,42.247212,-71.99227,1274.0
227,2537,East Sandwich,41.733837,-70.43754,2115.0
231,1803,Burlington,42.506362,-71.20008,3570.0
232,2744,New Bedford,41.610754,-70.91453,1618.0
233,1521,Holland,42.054676,-72.16137,226.0
234,1367,Rowe,42.694883,-72.90962,54.0
236,1845,North Andover,42.683841,-71.11171,4753.0
238,2332,Duxbury,42.031371,-70.70105,3249.0
239,1843,Lawrence,42.691091,-71.16078,4147.0
242,1772,Southborough,42.297643,-71.53369,1322.0
244,1430,Ashburnham,42.658768,-71.93287,1856.0
245,1432,Ayer,42.549821,-71.59136,959.0
246,2151,Revere,42.416247,-71.00525,7412.0
248,2459,Newton Center,42.321197,-71.193,4945.0
250,1776,Sudbury,42.38532,-71.42989,4470.0
251,2135,Brighton,42.348418,-71.15349,2899.0
252,2715,Dighton,41.811514,-71.13633,1289.0
253,1876,Tewksbury,42.601684,-71.22071,3595.0
254,1460,Littleton,42.540052,-71.49085,1646.0
255,1068,Oakham,42.349769,-72.04413,165.0
258,1056,Ludlow,42.174893,-72.47068,2706.0
259,1453,Leominster,42.526523,-71.75358,
264,1840,Lawrence,42.706941,-71.16181,1402.0
267,1452,Hubbardston,42.477515,-71.99654,313.0
268,2026,Dedham,42.244609,-71.16553,2769.0
270,1106,Longmeadow,42.050395,-72.5712,2906.0
271,1541,Princeton,42.451569,-71.882,408.0
275,1473,Westminster,42.544622,-71.9021,541.0
277,2066,Scituate,42.205038,-70.7513,3033.0
278,2368,Randolph,42.173417,-71.04912,2990.0
279,1515,East Brookfield,42.212777,-72.05311,282.0
280,2113,Boston,42.365028,-71.05636,520.0
282,1569,Uxbridge,42.064978,-71.62992,
283,2359,Pembroke,42.065554,-70.80426,3134.0
285,1529,Millville,42.036396,-71.57798,283.0
286,2136,Hyde Park,42.252198,-71.12593,4012.0
287,2651,North Eastham,41.824264,-69.98176,960.0
292,1841,Lawrence,42.71159,-71.16667,7718.0
293,2062,Norwood,42.185974,-71.20166,3467.0
294,2364,Kingston,41.993102,-70.73827,2980.0
295,1913,Amesbury,42.854423,-70.93547,2282.0
296,1081,Wales,42.058024,-72.22517,166.0
297,2341,Hanson,42.059434,-70.86205,1226.0
298,2747,North Dartmouth,41.637916,-70.99076,2112.0
300,2176,Melrose,42.459045,-71.06233,3771.0
303,2633,Chatham,41.686534,-69.97746,732.0
305,1568,Upton,42.17382,-71.60971,2243.0
306,2180,Stoneham,42.480145,-71.09835,2373.0
309,2644,Forestdale,41.683462,-70.51211,667.0
310,1376,Turners Falls,42.609425,-72.54438,850.0
312,1852,Lowell,42.634112,-71.29849,7647.0
314,1102,Springfield,42.170731,-72.604842,69.0
316,1824,Chelmsford,42.595491,-71.3544,3122.0
319,1880,Wakefield,42.501345,-71.07132,4766.0
320,2050,Marshfield,42.109763,-70.69172,4302.0
322,1012,Chesterfield,42.390836,-72.84356,157.0
323,1915,Beverly,42.560995,-70.8757,4542.0
331,2657,Provincetown,42.053355,-70.18947,129.0
332,2052,Medfield,42.185571,-71.30476,2642.0
333,2072,Stoughton,42.125432,-71.10627,3696.0
334,2446,Brookline,42.344747,-71.12141,2110.0
335,1531,New Braintree,42.317121,-72.12248,138.0
336,2127,Boston,42.33499,-71.04562,2756.0
339,2370,Rockland,42.129513,-70.91189,2344.0
340,1030,Feeding Hills,42.070774,-72.67248,903.0
341,1605,Worcester,42.286543,-71.78846,5330.0
